"name","credits","code","level","url","location","teaching_form","pace_of_study","language_of_instruction","outline_url"
"Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings","120","TFY2M","Master","https://www.uu.se/en/study/programme/masters-programme-physics-theoretical-physics","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3304"
"Master's Programme in Quantum Technology","120","TKT2M","Master","https://www.uu.se/en/study/programme/masters-programme-quantum-technology","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3193"
"Master's Programme in Renewable Electricity Production","120","TFE2M","Master","https://www.uu.se/en/study/programme/masters-programme-renewable-electricity-production","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3287"
"Master's Programme in Sociotechnical Systems Engineering","300","TST2Y","Master","https://www.uu.se/en/study/programme?query=TST2Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3351"
"Master's Programme in Sustainable Destination Development","120","THD2M","Master","https://www.uu.se/en/study/programme/masters-programme-sustainable-destination-development","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3330"
"Master's Programme in Sustainable Development","120","THU2M","Master","https://www.uu.se/en/study/programme/masters-programme-sustainable-development","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3326"
"Master's Programme in Sustainable and Innovative Natural Resource Management – SINReM","120","THH2M","Master","https://www.uu.se/en/study/programme/masters-programme-sustainable-and-innovative-natural-resource-management-sinrem","Ghent, Uppsala, Freiberg","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3371"
"Master's Programme in Water Engineering","120","TVA2M","Master","https://www.uu.se/en/study/programme/masters-programme-water-engineering","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3327"
"Master's Programme in Wind Power Project Management","120","TVP2M","Master","https://www.uu.se/en/study/programme/masters-programme-wind-power-project-management-120","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3318"
"Magister Programme in Wind Power Project Management","60","TVP2N","Master","https://www.uu.se/en/study/programme/masters-programme-wind-power-project-management-60","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3328"
